,base1,bass.mp3,drums.mp3,other.mp3,vocals.mp3
0,1.0,0.0,0.0001019425384202,0.0,0.32139564854158
1,1.0,0.0,0.0001516034337827,0.0,0.3217012635506622
2,1.0,0.0,0.0001600813654779,0.0,0.3220046737967569
3,1.0,0.0,0.0001415201524607,0.0,0.3223234971029948
4,1.0,0.0,0.0001271751473485,0.0,0.3227077941352886
5,1.0,0.0,0.0001169511369719,0.0,0.3231733153505684
6,1.0,0.0,0.0001097177015552,0.0,0.3237253524887068
7,1.0,0.0,0.0001046426708849,0.0,0.3243796521680422
8,1.0,0.0,0.0001002735006996,0.0,0.3251617095991446
9,1.0,0.0,9.621178267972812e-05,0.0,0.3261014485821766
10,1.0,0.0,9.257169925018888e-05,0.0,0.327237225096026
11,1.0,0.0,8.929503038109661e-05,0.0,0.3286155030244882
12,1.0,0.0,8.662812009632233e-05,0.0,0.3302932538036174
13,1.0,0.0,8.475209103515312e-05,0.0,0.3323381833662996
14,1.0,0.0,8.426174474750138e-05,0.0,0.3348338513183497
15,1.0,0.0,8.582987929691144e-05,0.0,0.337880447639735
16,1.0,0.0,9.017045680872716e-05,0.0,0.3416015594945145
17,1.0,0.0,9.821477166530856e-05,0.0,0.3461490960778635
18,1.0,0.0,0.0001113253891016,0.0,0.3517080354931733
19,1.0,0.0,0.0001317381119951,0.0,0.358503888775932
20,1.0,0.0,0.0001627293208405,0.0,0.3668114625608076
21,1.0,0.0,0.000209472781917,0.0,0.3769670356806505
22,1.0,0.0,0.0002795908186423,0.0,0.3893803692438958
23,1.0,0.0,0.0003845190705794,0.0,0.4045531849903577
24,1.0,0.0,0.0005419679544526,0.0,0.4230991910540596
25,1.0,0.0,0.0007784751995882,0.0,0.4457717841626261
26,1.0,0.0,0.0011316306438209,0.0,0.47348826488005924
27,1.0,0.0,0.0016563014350377,0.0,0.5073749054536973
28,1.0,0.0,0.0024287718589092,0.0,0.5480403774471513
29,1.0,0.0,0.0033327431868401,0.0,0.5877750971322615
30,1.0,0.0,0.004011358211062,0.0,0.6214529122027579
31,1.0,0.0,0.0046623802962928,0.0,0.6493489225723157
32,1.0,0.0,0.0051795162445025,0.0,0.6719058649245255
33,1.0,0.0,0.005500717824809,0.0,0.6902965875003997
34,1.0,0.0,0.0056956465568336,0.0,0.7057179489636228
35,1.0,0.0,0.0057031490299622,0.0,0.7189394247897218
36,1.0,0.0,0.0055300902651523,0.0,0.729411038145271
37,1.0,0.0,0.0051538374536955,0.0,0.7357851965252239
38,1.0,0.0,0.0047615924692222,0.0,0.7387624736502256
39,1.0,0.0,0.0044756067377701,0.0,0.7400774498813676
40,1.0,0.0,0.004275368451502,0.0,0.7404696454717206
41,1.0,0.0,0.0041467862245533,0.0,0.7400070458958421
42,1.0,0.0,0.0040325745773183,0.0,0.7390199228154422
43,1.0,0.0,0.0039738855051168,0.0,0.7378907380401583
44,1.0,0.0,0.0039450569871471,0.0,0.7371383496522327
45,1.0,0.0,0.0038642661479225,0.0,0.7374952622814621
46,1.0,0.0,0.003757179802218,0.0,0.7400357237746003
47,1.0,0.0,0.0035658931067663,0.0,0.7443645515088125
48,1.0,0.0,0.0032969722587677,0.0,0.7473833214260742
49,1.0,0.0,0.0031054476876459,0.0,0.7478150354427398
50,1.0,0.0,0.002948449383283,0.0,0.7471012650545038
51,1.0,0.0,0.0027881926727726,0.0,0.7464814587846491
52,1.0,0.0,0.0026735052526529,0.0,0.7458454080758965
53,1.0,0.0,0.0026345194613829,0.0,0.744785140292284
54,1.0,0.0,0.0026536797664418,0.0,0.7431877243039471
55,1.0,0.0,0.002746556967179,0.0,0.74085059292441
56,1.0,0.0,0.0028753886259327,0.0,0.7372775595433008
57,1.0,0.0,0.0029338465652924,0.0,0.7347635384288329
58,1.0,0.0,0.0028869854922181,0.0,0.7361169667584123
59,1.0,0.0,0.002730006811603,0.0,0.7397603882776217
60,1.0,0.0,0.0025574454708955,0.0,0.7421159834926483
61,1.0,0.0,0.002382039450424,0.0,0.7437149692919941
62,1.0,0.0,0.0023402411889316,0.0,0.7469259304476651
63,1.0,0.0,0.0023846238379498,0.0,0.7536538772326435
64,1.0,0.0,0.0024364656503422,0.0,0.7643724109500076
65,1.0,0.0,0.0025499429108072,0.0,0.777502275097398
66,1.0,0.0,0.0027509945092298,0.0,0.7914861737742493
67,1.0,0.0,0.0028865618462269,0.0,0.8033474281645008
68,1.0,0.0,0.0028521578765673,0.0,0.8126656714487076
69,1.0,0.0,0.0027515934827906,0.0,0.8196908313305654
70,1.0,0.0,0.0026893785040731,0.0,0.824375617450962
71,1.0,0.0,0.0026545135003316,0.0,0.8282983790949068
72,1.0,0.0,0.0026527905211768,0.0,0.8315962123760414
73,1.0,0.0,0.0025979212939812,0.0,0.8340957942461176
